call_to_arrival,assign_to_arrival,demand_met
30.61706184817751,24.708600866529817,1.0
31.10314963321027,24.702888143056935,1.0
30.31326831894817,24.565261177996632,1.0
30.033298604447836,24.608167848602065,1.0
30.025576786095556,24.860578419244813,1.0
30.12590297320527,24.902084228086753,1.0
31.388629615111114,24.674681665941986,1.0
29.94837893280086,24.83635871458921,1.0
30.236216910592454,24.78991421502291,1.0
31.004860338221512,24.7152251534538,1.0
30.64989658460526,24.77700074736969,1.0
30.40037711049648,24.8728641656354,1.0
30.364408834995704,24.453087738252687,1.0
30.157250818033067,24.942694590255154,1.0
30.574320248586382,24.874564466136334,1.0
30.615570634292347,24.73614494823394,1.0
30.735150099023624,24.905026211064,1.0
30.424190871123223,24.636780539259057,1.0
30.44428277512706,24.75106887093717,1.0
30.31393368760413,24.712232916593216,1.0
29.906881390448007,24.712279509454657,1.0
30.566767511193234,24.774611952554316,1.0
29.97567859307119,24.643624756172265,1.0
30.728522581789168,24.586600310719483,1.0
30.464893386121933,24.915690711195477,1.0
30.17471120081934,24.698636422911257,1.0
30.738489547467218,24.959603008949408,1.0
30.00946357493847,24.69871990515719,1.0
29.99268473182461,24.803383671985898,1.0
30.04678183183029,24.90410115959906,1.0
